"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1970","1970","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1971","1971","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1972","1972","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1973","1973","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1974","1974","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1975","1975","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1976","1976","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1977","1977","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1978","1978","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1979","1979","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1980","1980","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1981","1981","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1982","1982","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1983","1983","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1984","1984","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1985","1985","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1986","1986","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1987","1987","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1988","1988","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1989","1989","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1990","1990","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1991","1991","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1992","1992","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1993","1993","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1994","1994","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1995","1995","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1996","1996","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1997","1997","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1998","1998","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","1999","1999","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","2000","2000","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","2001","2001","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","2002","2002","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","2003","2003","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","2004","2004","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","2005","2005","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","2006","2006","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","2007","2007","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
"MKD","North Macedonia","T-CONT-SEA-TON","Maritime containers transport (weight)","2008","2008","TONNE","Tonnes","3","Thousands",,,,"M","Missing value; data cannot exist"
