Country;Year;Value (Thousand tonne)
Germany;2012;42
Germany;2013;5
Germany;2014;142
Germany;2015;134
Germany;2016;165
Germany;2017;184
Germany;2018;201
Germany;2019;207
Germany;2020;158
Germany;2021;177
Spain;2012;96
Spain;2013;123
Spain;2014;132
Spain;2015;136
Spain;2016;172
Spain;2017;0
Spain;2018;92
Spain;2019;106
Spain;2020;83
Spain;2021;59
France;2012;351
France;2013;414
France;2014;442
France;2015;0
France;2016;11
France;2017;281
France;2018;23
France;2019;14
France;2020;24
France;2021;14
Netherlands;2012;27
Netherlands;2013;43
Netherlands;2014;73
Netherlands;2015;38
Netherlands;2016;0
Netherlands;2017;0
Netherlands;2018;0
Netherlands;2019;0
Netherlands;2020;0
Netherlands;2021;0
