"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2008",31.57064,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2009",-16.78958,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2010",37.18165,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2011",27.35644,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2012",-4.837427,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2013",-1.565864,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2014",-4.838842,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2015",-21.76199,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2016",2.0518,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2017",20.28536,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2018",11.32584,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2019",5.352668,
"AUS","TRADEGOOD","EXP","PC_CHGPP","A","2020",-7.531787,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2008",9.806828,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2009",-24.12115,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2010",10.8847,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2011",16.959,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2012",-5.713388,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2013",4.656353,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2014",2.142764,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2015",-14.5352,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2016",-0.4801286,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2017",11.33554,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2018",9.440999,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2019",-3.628143,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2020",-5.369638,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2008",8.961796,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2009",-21.20881,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2010",9.914857,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2011",16.94059,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2012",-6.204708,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2013",5.011236,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2014",0.4479626,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2015",-15.869,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2016",0.310583,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2017",8.571864,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2018",8.564237,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2019",-4.515096,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2020",-5.888118,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2008",8.621658,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2009",-30.66164,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2010",22.42133,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2011",16.56511,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2012",0.8956728,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2013",0.5829754,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2014",4.098141,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2015",-13.96926,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2016",-4.989387,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2017",7.902374,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2018",7.158388,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2019",-1.029118,
"CAN","TRADEGOOD","EXP","PC_CHGPP","A","2020",-12.34845,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2008",18.77093,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2009",-22.31257,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2010",16.99784,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2011",22.54664,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2012",-3.131192,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2013",3.108562,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2014",7.684852,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2015",-9.4631,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2016",2.582206,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2017",12.02397,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2018",10.9892,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2019",-1.350779,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2020",-3.986606,
