"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2008",20.82734,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2009",-16.74796,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2010",22.05283,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2011",21.43156,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2012",6.495709,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2013",-6.947518,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2014",-1.84648,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2015",-12.0375,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2016",-5.843334,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2017",17.29679,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2018",2.337795,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2019",-5.811678,
"AUS","TRADEGOOD","IMP","PC_CHGPP","A","2020",-5.615647,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2008",12.00048,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2009",-21.89099,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2010",10.55052,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2011",20.68225,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2012",-6.02627,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2013",1.972626,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2014",-0.4148415,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2015",-14.42567,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2016",1.159474,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2017",11.92771,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2018",10.17231,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2019",-5.198664,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2020",-6.545699,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2008",12.21994,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2009",-23.50784,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2010",10.36969,
