"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2008",12.00048,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2009",-21.89099,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2010",10.55052,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2011",20.68225,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2012",-6.02627,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2013",1.972626,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2014",-0.4148415,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2015",-14.42567,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2016",1.159474,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2017",11.92771,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2018",10.17231,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2019",-5.198664,
"AUT","TRADEGOOD","IMP","PC_CHGPP","A","2020",-6.545699,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2008",12.21994,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2009",-23.50784,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2010",10.36969,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2011",19.38637,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2012",-5.913074,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2013",2.72617,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2014",0.1592251,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2015",-16.99177,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2016",1.137124,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2017",8.234902,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2018",10.8105,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2019",-5.770831,
"BEL","TRADEGOOD","IMP","PC_CHGPP","A","2020",-7.615679,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2008",19.77588,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2009",-25.73043,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2010",19.66734,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2011",20.4968,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2012",-6.5706,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2013",1.667357,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2014",6.826537,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2015",-8.762187,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2016",1.664679,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2017",14.07129,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2018",13.08111,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2019",-2.902598,
"CZE","TRADEGOOD","IMP","PC_CHGPP","A","2020",-4.492873,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2008",11.88305,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2009",-26.58797,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2010",2.916198,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2011",16.53677,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2012",-4.888176,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2013",6.68545,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2014",1.754558,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2015",-14.09831,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2016",-1.196532,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2017",9.611512,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2018",10.63437,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2019",-4.131877,
"DNK","TRADEGOOD","IMP","PC_CHGPP","A","2020",-0.6951986,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2008",12.09154,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2009",-33.79679,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2010",12.75387,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2011",22.62739,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2012",-8.638062,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2013",1.233931,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2014",-0.8695114,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2015",-21.51822,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2016",0.3859721,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2017",16.48062,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2018",11.399,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2019",-6.171076,
"FIN","TRADEGOOD","IMP","PC_CHGPP","A","2020",-7.80961,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2008",12.87165,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2009",-21.10505,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2010",7.849645,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2011",18.22783,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2012",-6.121593,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2013",1.472237,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2014",-0.9122968,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2015",-15.82441,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2016",-0.8430493,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2017",9.720849,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2018",9.089557,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2019",-3.132771,
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2020",-11.56441,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2008",11.69173,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2009",-21.97861,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2010",13.583,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2011",19.22448,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2012",-7.326942,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2013",2.176085,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2014",2.118657,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2015",-13.28442,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2016",0.3366886,
