"TIME","GEO","UNIT","C_UNLOAD","Value","Flag and Footnotes"
"2012","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","57",""
"2013","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","4",""
"2014","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","101",""
"2015","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","142",""
"2016","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","179",""
"2017","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","221",""
"2018","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","262",""
"2019","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","259",""
"2020","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","202",""
"2021","Germany (until 1990 former territory of the FRG)","Thousand tonnes","United Kingdom","156",""
"2012","Ireland","Thousand tonnes","United Kingdom","0",""
"2013","Ireland","Thousand tonnes","United Kingdom","0",""
"2014","Ireland","Thousand tonnes","United Kingdom","0",""
"2015","Ireland","Thousand tonnes","United Kingdom","0",""
"2016","Ireland","Thousand tonnes","United Kingdom","0",""
"2017","Ireland","Thousand tonnes","United Kingdom","0",""
"2018","Ireland","Thousand tonnes","United Kingdom","0",""
"2019","Ireland","Thousand tonnes","United Kingdom","0",""
"2020","Ireland","Thousand tonnes","United Kingdom","0",""
"2021","Ireland","Thousand tonnes","United Kingdom","0",""
"2012","Spain","Thousand tonnes","United Kingdom","106",""
"2013","Spain","Thousand tonnes","United Kingdom","133",""
"2014","Spain","Thousand tonnes","United Kingdom","127",""
"2015","Spain","Thousand tonnes","United Kingdom","113",""
"2016","Spain","Thousand tonnes","United Kingdom","128",""
"2017","Spain","Thousand tonnes","United Kingdom","128",""
"2018","Spain","Thousand tonnes","United Kingdom","116",""
"2019","Spain","Thousand tonnes","United Kingdom","131",""
"2020","Spain","Thousand tonnes","United Kingdom","109",""
"2021","Spain","Thousand tonnes","United Kingdom","101",""
"2012","France","Thousand tonnes","United Kingdom","208",""
"2013","France","Thousand tonnes","United Kingdom","186",""
"2014","France","Thousand tonnes","United Kingdom","208",""
"2015","France","Thousand tonnes","United Kingdom","265",""
"2016","France","Thousand tonnes","United Kingdom","192",""
"2017","France","Thousand tonnes","United Kingdom","287",""
"2018","France","Thousand tonnes","United Kingdom","316",""
"2019","France","Thousand tonnes","United Kingdom","399",""
"2020","France","Thousand tonnes","United Kingdom","422",""
"2021","France","Thousand tonnes","United Kingdom","474",""
"2012","Hungary","Thousand tonnes","United Kingdom",":",""
"2013","Hungary","Thousand tonnes","United Kingdom","1",""
"2014","Hungary","Thousand tonnes","United Kingdom",":",""
"2015","Hungary","Thousand tonnes","United Kingdom",":",""
"2016","Hungary","Thousand tonnes","United Kingdom",":",""
"2017","Hungary","Thousand tonnes","United Kingdom",":",""
"2018","Hungary","Thousand tonnes","United Kingdom",":",""
"2019","Hungary","Thousand tonnes","United Kingdom",":",""
"2020","Hungary","Thousand tonnes","United Kingdom",":",""
"2021","Hungary","Thousand tonnes","United Kingdom",":",""
"2012","Netherlands","Thousand tonnes","United Kingdom","4",""
"2013","Netherlands","Thousand tonnes","United Kingdom",":",""
"2014","Netherlands","Thousand tonnes","United Kingdom",":",""
"2015","Netherlands","Thousand tonnes","United Kingdom",":",""
"2016","Netherlands","Thousand tonnes","United Kingdom",":",""
"2017","Netherlands","Thousand tonnes","United Kingdom",":",""
"2018","Netherlands","Thousand tonnes","United Kingdom",":",""
"2019","Netherlands","Thousand tonnes","United Kingdom",":",""
"2020","Netherlands","Thousand tonnes","United Kingdom",":",""
"2021","Netherlands","Thousand tonnes","United Kingdom",":",""
"2012","Austria","Thousand tonnes","United Kingdom",":",""
"2013","Austria","Thousand tonnes","United Kingdom",":",""
"2014","Austria","Thousand tonnes","United Kingdom",":",""
"2015","Austria","Thousand tonnes","United Kingdom",":",""
"2016","Austria","Thousand tonnes","United Kingdom","1",""
"2017","Austria","Thousand tonnes","United Kingdom",":",""
"2018","Austria","Thousand tonnes","United Kingdom",":",""
"2019","Austria","Thousand tonnes","United Kingdom","23",""
"2020","Austria","Thousand tonnes","United Kingdom",":",""
"2021","Austria","Thousand tonnes","United Kingdom",":",""
"2012","Poland","Thousand tonnes","United Kingdom","24",""
"2013","Poland","Thousand tonnes","United Kingdom","32",""
"2014","Poland","Thousand tonnes","United Kingdom","29",""
"2015","Poland","Thousand tonnes","United Kingdom",":",""
"2016","Poland","Thousand tonnes","United Kingdom",":",""
"2017","Poland","Thousand tonnes","United Kingdom",":",""
"2018","Poland","Thousand tonnes","United Kingdom","0",""
"2019","Poland","Thousand tonnes","United Kingdom",":",""
"2020","Poland","Thousand tonnes","United Kingdom",":",""
"2021","Poland","Thousand tonnes","United Kingdom",":",""
"2012","Finland","Thousand tonnes","United Kingdom","1",""
"2013","Finland","Thousand tonnes","United Kingdom","1",""
"2014","Finland","Thousand tonnes","United Kingdom","1",""
"2015","Finland","Thousand tonnes","United Kingdom",":",""
"2016","Finland","Thousand tonnes","United Kingdom",":",""
"2017","Finland","Thousand tonnes","United Kingdom",":",""
"2018","Finland","Thousand tonnes","United Kingdom",":",""
"2019","Finland","Thousand tonnes","United Kingdom",":",""
"2020","Finland","Thousand tonnes","United Kingdom",":",""
"2021","Finland","Thousand tonnes","United Kingdom",":",""
