Years;Coal;Metals;Construction;Oil and petroleum;International;Domestic intermodal;Other;Total1;Infrastructure2;;;;;;;;;;;;
1999/00;4,8;2,2;2;1,5;1;3,9;2,7;18,2;0,8;;;;;;;;;;;;
2000/01;4,8;2,1;2,4;1,4;1;3,8;2,6;18,1;0,9;;;;;;;;;;;;
2001/02;6,2;2,4;2,8;1,2;0,6;3,5;2,6;19,4;1,2;;;;;;;;;;;;
2002/03;5,7;2,6;2,5;1,2;0,5;3,4;2,7;18,5;1,2;;;;;;;;;;;;
2003/04;5,8;2,4;2,7;1,2;0,5;3,5;2,8;18,9;1,2;;;;;;;;;;;;
2004/05;6,7;2,6;2,9;1,2;0,5;4;2,5;20,3;1,3;;Billion net tonne-kilometres;;;;;;;;;;
2005/06;8,3;2,2;2,9;1,2;0,5;4,3;2,3;21,7;1,4;;;;;;;;;;;;
2006/07;8,6;2;2,7;1,5;0,4;4,7;1,9;21,9;1,4;;;;;;;;;;;;
2007/08;7,7;1,8;2,8;1,6;0,4;5,1;1,7;21,2;1,7;;;;;;;;;;;;
2008/09;7,9;1,5;2,7;1,5;0,4;5,2;1,4;20,6;1,6;;;;;;;;;;;;
2009/10;6,2;1,6;2,8;1,4;0,4;5,5;1;19,1;1,4;;;;;;;;;;;;
2010/11;5,5;2,2;3,2;1,3;0,4;5,7;0,9;19,2;1,5;;;;;;;;;;;;
2011/12;6,4;2,2;3,5;1,2;0,4;6,3;1;21,1;1,9;;;;;;;;;;;;
2012/13;7,5;1,8;3,1;1,2;0,4;6,3;1,2;21,5;1,7;;;;;;;;;;;;
2013/14;8,1;1,8;3,6;1,3;0,5;6,2;1,4;22,7;1,7;;;;;;;;;;;;
2014/15;6,5;1,8;3,9;1,2;0,6;6,5;1,7;22,2;1,7;;;;;;;;;;;;
2015/16;2,3;1,5;4;1,2;0,5;6,4;1,9;17,8;1,7;;;;;;;;;;;;
2016/17;1,4;1,5;4,2;1,1;0,4;6,8;1,7;17,2;1,7;;;;;;;;;;;;
2017/18;1,2;1,4;4,3;1,1;0,5;6,7;1,7;17;1,4;;;;;;;;;;;;
2018/19;1,2;1,4;4,5;1,1;0,5;6,8;1,9;17,4;1,4;;;;;;;;;;;;
2019/20;0,4;1,4;4,6;1;0,5;6,8;1,9;16,6;1,3;;;;;;;;;;;;
2020/21;0,2;1,4;4,2;0,8;0,4;6,3;2;15,2;1,3;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;1 Infrastructure not included in total.;;;;;;;;;Source: Office of Rail and Road (ORR)
Table TSGB0422 (RAI0401);;;;;;;;;;;;2 This series excludes some possession trains used during engineering works.;;;;;;;;;Last updated: December 2021
National Railways freight moved by commodity, annual from 1999/00;;;;;;;;;;;;;;;;;;;;;Next updated: December 2022
;;;;;;;;;;;;;;;;;;;;;Telephone: 020 7944 2419
;;;;;;;;;;;;;;;;;;;;;Email: rail.stats@dft.gov.uk
