,COUNTRY,Country,INDICATOR,Indicator,YEAR,Year,Value,Flag Codes,Flags
76676,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),1994,1994,169.40478650849,,
76677,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),1995,1995,169.75240772124,,
76678,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),1996,1996,169.99297317406,,
76679,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),1997,1997,170.38358202786,,
76680,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),1998,1998,170.76013722978,,
76681,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),1999,1999,171.14619931385,,
76682,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2000,2000,171.56863555574,,
76683,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2001,2001,171.9013764312,,
76684,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2002,2002,172.24775761584,,
76685,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2003,2003,172.54371099078,,
76686,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2004,2004,170.64357458769,,
76687,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2005,2005,170.80684495515,,
76688,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2006,2006,173.48406563882,,
76689,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2007,2007,173.72091100732,,
76690,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2008,2008,173.55516058364,,
76691,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2009,2009,173.55474724094,,
76692,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2010,2010,173.51713305502,,
76693,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2011,2011,173.59608151118,,
76694,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2012,2012,173.88376803208,,
76695,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2013,2013,174.13218699624,,
76696,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2014,2014,174.20617533997,,
76697,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2015,2015,174.26032323399,,
76698,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2016,2016,174.69433307155,,
76699,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2017,2017,174.85181664118,,
76700,GBR,United Kingdom,IND-INFR-ROAD-DENS,Density of road (km per one hundred sq. km),2018,2018,174.87785723143,,
76701,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,1994,1994,0.81836614687159,,
76702,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,1995,1995,0.8230212183636,,
76703,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,1996,1996,0.82890795206972,,
76704,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,1997,1997,0.84641528933138,,
76705,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,1998,1998,0.85544151820294,,
76706,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,1999,1999,0.86075729252706,,
76707,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2000,2000,0.89043934122908,,
76708,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2001,2001,0.89087984303202,,
76709,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2002,2002,0.88956827022526,,
76710,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2003,2003,0.88804244972271,,
76711,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2004,2004,0.9090732926717,,
76712,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2005,2005,0.90699435911459,,
76713,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2006,2006,0.90133663720188,,
76714,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2007,2007,0.90105952417776,,
76715,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2008,2008,0.90192006325587,,
76716,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2009,2009,0.90216037401073,,
76717,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2010,2010,0.90187951118416,,
76718,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2011,2011,0.90504094232834,,
76719,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2012,2012,0.91471604104812,,
76720,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2013,2013,0.91887067447149,,
76721,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2014,2014,0.91942950289116,,
76722,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2015,2015,0.92104139586516,,
76723,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2016,2016,0.91780672821658,,
76724,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2017,2017,0.92619953240871,,
76725,GBR,United Kingdom,IND-INFR-MOTWAYS-SHARE,Share of motorways in total road network,2018,2018,0.93433424253454,,
76726,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,1994,1994,34.990642712662,,
76727,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,1995,1995,35.007621468679,,
76728,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,1996,1996,35.038077731092,,
76729,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,1997,1997,35.059884670155,,
76730,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,1998,1998,35.176946165763,,
76731,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2000,2000,35.24029334387,,
76732,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2001,2001,35.289421733621,,
76733,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2002,2002,35.34780031628,,
76734,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2003,2003,35.384431109035,,
76735,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2004,2004,35.402022100679,,
76736,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2005,2005,35.432310585069,,
76737,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2006,2006,35.036572871745,,
76738,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2007,2007,35.05970976699,,
76739,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2008,2008,35.085571660609,,
76740,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2009,2009,35.170917474237,,
76741,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2010,2010,35.204030586722,,
76742,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2011,2011,35.206830785202,,
76743,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2012,2012,35.214190459664,,
76744,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2013,2013,35.243948176738,,
76745,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2014,2014,35.273823901371,,
76746,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2015,2015,35.285397117565,,
76747,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2016,2016,35.33496751357,,
76748,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2017,2017,36.556514010009,,
76749,GBR,United Kingdom,IND-INFR-URB-SHARE,Share of urban roads in total road network,2018,2018,36.775613238096,,
76750,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),1995,1995,7.0272392840904,,
76751,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),1996,1996,7.0272392840904,,
76752,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),1997,1997,7.0231058570661,,
76753,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),1998,1998,7.0264125986856,,
76754,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),1999,1999,7.0222791716612,,
76755,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2000,2000,7.0235191997685,,
76756,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2001,2001,7.0235191997685,,
76757,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2002,2002,7.0309593684124,,
76758,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2003,2003,6.9883850700616,,
76759,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2004,2004,6.8325548712437,,
76760,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2005,2005,6.8019675112636,,
76761,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2006,2006,6.6754846443186,,
76762,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2007,2007,6.7221923696937,,
76763,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2008,2008,6.7263257967181,,
76764,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2009,2009,6.7122721448353,,
76765,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2010,2010,6.5671888562807,,
76766,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2011,2011,6.7002852064647,,
76767,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2012,2012,6.5502418054809,,
76768,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2013,2013,6.556028603315,,
76769,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2014,2014,6.8333815566486,,
76770,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2015,2015,6.7147522010499,,
76771,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2016,2016,6.7197123134791,,
76772,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2017,2017,6.7350059934692,,
76773,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2018,2018,6.7354193361716,,
76774,GBR,United Kingdom,IND-INFR-RAIL-DENS,Density of rail lines (km per one hundred sq. km),2019,2019,6.5973628735585,,
76775,GBR,United Kingdom,IND-INFR-ERAIL-SHARE,Share of electrified rail lines in total rail network,1995,1995,30.368801835186,,
76776,GBR,United Kingdom,IND-INFR-ERAIL-SHARE,Share of electrified rail lines in total rail network,1996,1996,30.445267925416,,
76777,GBR,United Kingdom,IND-INFR-ERAIL-SHARE,Share of electrified rail lines in total rail network,1997,1997,30.40433170502,,
76778,GBR,United Kingdom,IND-INFR-ERAIL-SHARE,Share of electrified rail lines in total rail network,1998,1998,30.390022942526,,
