"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2008",9.806828,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2009",-24.12115,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2010",10.8847,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2011",16.959,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2012",-5.713388,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2013",4.656353,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2014",2.142764,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2015",-14.5352,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2016",-0.4801286,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2017",11.33554,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2018",9.440999,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2019",-3.628143,
"AUT","TRADEGOOD","EXP","PC_CHGPP","A","2020",-5.369638,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2008",8.961796,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2009",-21.20881,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2010",9.914857,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2011",16.94059,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2012",-6.204708,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2013",5.011236,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2014",0.4479626,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2015",-15.869,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2016",0.310583,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2017",8.571864,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2018",8.564237,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2019",-4.515096,
"BEL","TRADEGOOD","EXP","PC_CHGPP","A","2020",-5.888118,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2008",18.77093,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2009",-22.31257,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2010",16.99784,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2011",22.54664,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2012",-3.131192,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2013",3.108562,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2014",7.684852,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2015",-9.4631,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2016",2.582206,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2017",12.02397,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2018",10.9892,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2019",-1.350779,
"CZE","TRADEGOOD","EXP","PC_CHGPP","A","2020",-3.986606,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2008",13.75569,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2009",-20.6422,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2010",3.880121,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2011",17.42251,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2012",-5.60282,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2013",4.044599,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2014",0.3600439,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2015",-14.50443,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2016",-0.6417319,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2017",7.597874,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2018",7.359606,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2019",1.401118,
"DNK","TRADEGOOD","EXP","PC_CHGPP","A","2020",-2.78296,
